translation,surface,abs,dir,io,ben/mal/com,dyn,root,pst/pot,dcl
я иду,сокIуэ,сы,,,,о,кIуэ,,
я шел,сыкIуащ,сы,,,,,кIуэ,а,щ
я пойду,сыкIуэнщ,сы,,,,,кIуэ,н,щ
я иду сюда,сыкъокIуэ,сы,къэ,,,о,кIуэ,,
я шел сюда,сыкъэкIуащ,сы,къэ,,,,кIуэ,а,щ
я пойду сюда,сыкъэкIуэнщ,сы,къэ,,,,кIуэ,н,щ
ты идешь,уокIуэ,уы,,,,о,кIуэ,,
ты шел,уыкIуащ,уы,,,,,кIуэ,а,щ
ты пойдешь,уыкIуэнщ,уы,,,,,кIуэ,н,щ
ты идешь сюда,уыкъокIуэ,уы,къэ,,,о,кIуэ,,
ты шел сюда,уыкъэкIуащ,уы,къэ,,,,кIуэ,а,щ
ты пойдешь сюда,уыкъэкIуэнщ,уы,къэ,,,,кIуэ,н,щ
мы идем,докIуэ,ды,,,,о,кIуэ,,
мы шли,дыкIуащ,ды,,,,,кIуэ,а,щ
мы пойдем,дыкIуэнщ,ды,,,,,кIуэ,н,щ
мы идем сюда,дыкъокIуэ,ды,къ,,,о,кIуэ,,
мы шли сюда,дыкъэкIуащ,ды,къэ,,,,кIуэ,а,щ
мы пойдем сюда,дыкъэкIуэнщ,ды,къэ,,,,кIуэ,н,щ
вы идете,фокIуэ,фы,,,,о,кIуэ,,
вы шли,фыкIуащ,фы,,,,,кIуэ,а,щ
вы пойдете,фыкIуэнщ,фы,,,,,кIуэ,н,щ
вы идете сюда,фыкъокIуэ,фы,къ,,,о,кIуэ,,
вы шли сюда,фыкъэкIуащ,фы,къэ,,,,кIуэ,а,щ
вы пойдете сюда,фыкъэкIуэнщ,фы,къэ,,,,кIуэ,н,щ
я для тебя иду,сыпхуокIуэ,сы,,п,хуэ,о,кIуэ,,
я для тебя ходил,сыпхуэкIуащ,сы,,п,хуэ,,кIуэ,а,щ
я для тебя пойду,сыпхуэкIуэнщ,сы,,п,хуэ,,кIуэ,н,щ
я против твоей воли иду,сыпфIокIуэ,сы,,п,фIы,о,кIуэ,,
я против твоей воли ходил,сыпфIыкIуащ,сы,,п,фIы,,кIуэ,а,щ
я против твоей воли пойду,сыпфIыкIуэнщ,сы,,п,фIы,,кIуэ,н,щ
я с тобой иду,сыбдокIуэ,сы,,п,дэ,о,кIуэ,,
я с тобой ходил,сыбдэкIуащ,сы,,п,дэ,,кIуэ,а,щ
я с тобой пойду,сыбдэкIуэнщ,сы,,п,дэ,,кIуэ,н,щ
я с вами иду,сывдокIуэ,сы,,ф,дэ,о,кIуэ,,
я с вами ходил,сывдэкIуащ,сы,,ф,дэ,,кIуэ,а,щ
я с вами пойду,сывдэкIуэнщ,сы,,ф,дэ,,кIуэ,н,щ
ты со мной идешь,уыздокIуэ,уы,,с,дэ,о,кIуэ,,
ты со мной ходил,уыздэкIуащ,уы,,с,дэ,,кIуэ,а,щ
ты со мной пойдешь,уыздэкIуэнщ,уы,,с,дэ,,кIуэ,н,щ
ты с нами идешь,уыддокIуэ,уы,,т,дэ,о,кIуэ,,
ты с нами ходил,уыддэкIуащ,уы,,т,дэ,,кIуэ,а,щ
ты с нами пойдешь,уыддэкIуэнщ,уы,,т,дэ,,кIуэ,н,щ
я для вас иду,сыфхуокIуэ,сы,,ф,хуэ,о,кIуэ,,
я для вас ходил,сыфхуэкIуащ,сы,,ф,хуэ,,кIуэ,а,щ
я для вас пойду,сыфхуэкIуэнщ,сы,,ф,хуэ,,кIуэ,н,щ
я против вашей воли иду,сыффIокIуэ,сы,,ф,фIы,о,кIуэ,,
я против вашей воли ходил,сыффIыкIуащ,сы,,ф,фIы,,кIуэ,а,щ
я против вашей воли пойду,сыффIыкIуэнщ,сы,,ф,фIы,,кIуэ,н,щ
ты для меня идешь,уысхуокIуэ,уы,,с,хуэ,о,кIуэ,,
ты против моей воли идешь,уысфIокIуэ,уы,,с,фIы,о,кIуэ,,
ты для нас идешь,уытхуокIуэ,уы,,т,хуэ,о,кIуэ,,
ты против нашей воли идешь,уытфIокIуэ,уы,,т,фIы,о,кIуэ,,
